Identyfikator projektu,Nazwa projektu,Identyfikator podmiotu,Rodzaj projektu,Koszt,Data rozpoczęcia,Data zakończenia,Identyfikator projektu architektonicznego,
1545,WODOCIĄGOWY-1743,189,GRZEWCZY,63440,26/07/2010,04/08/2010,1943,
1546,WODOCIĄGOWY-6640,31,ELEKTRYCZNY,18000,31/07/2010,05/08/2010,4939,
1547,WODOCIĄGOWY-4600,50,WODOCIĄGOWY,75515,30/07/2010,04/08/2010,870,
1548,WODOCIĄGOWY-5205,193,GRZEWCZY,58960,18/04/2010,27/04/2010,6890,
1549,WODOCIĄGOWY-8770,130,GRZEWCZY,98000,27/04/2010,03/05/2010,1085,
1550,WODOCIĄGOWY-1259,63,OGRODNICZY,40000,31/12/2010,08/01/2011,5335,
1551,WODOCIĄGOWY-7199,158,PRZECIWGROMOWY,53480,24/03/2010,02/04/2010,9257,
1552,WODOCIĄGOWY-5664,122,PRZECIWGROMOWY,1575,15/09/2010,16/09/2010,5445,
1553,WODOCIĄGOWY-9324,40,OGRODNICZY,21775,08/09/2010,13/09/2010,7970,
1554,WODOCIĄGOWY-3698,179,PRZECIWGROMOWY,50120,27/05/2010,02/06/2010,3388,
1555,WODOCIĄGOWY-1027,178,GRZEWCZY,62480,27/12/2010,30/12/2010,7154,
1556,WODOCIĄGOWY-3161,45,WODOCIĄGOWY,101475,11/03/2010,14/03/2010,7372,
1557,WODOCIĄGOWY-3658,187,ELEKTRYCZNY,46350,19/07/2010,20/07/2010,2864,
1558,WODOCIĄGOWY-4692,103,ALARMOWY,42400,25/04/2010,25/04/2010,9405,
1559,WODOCIĄGOWY-499,41,ELEKTRYCZNY,90825,05/11/2010,09/11/2010,2169,
1560,WODOCIĄGOWY-9111,86,OGRODNICZY,12500,29/12/2010,30/12/2010,1200,
1561,WODOCIĄGOWY-4049,42,GRZEWCZY,147840,01/11/2010,02/11/2010,9074,
1562,WODOCIĄGOWY-514,116,GRZEWCZY,142800,29/07/2010,04/08/2010,797,
1563,WODOCIĄGOWY-1023,89,GRZEWCZY,20240,09/02/2010,11/02/2010,203,
1564,WODOCIĄGOWY-1004,12,GRZEWCZY,32160,21/12/2010,27/12/2010,2943,
1565,WODOCIĄGOWY-4104,7,OGRODNICZY,39375,03/11/2010,03/11/2010,8001,
1566,WODOCIĄGOWY-6966,64,WODOCIĄGOWY,81675,26/06/2010,01/07/2010,7130,
1567,WODOCIĄGOWY-7042,89,ELEKTRYCZNY,16875,17/07/2010,18/07/2010,4523,
1568,WODOCIĄGOWY-4164,60,GRZEWCZY,40960,12/06/2010,18/06/2010,3481,
1569,WODOCIĄGOWY-2172,198,PRZECIWGROMOWY,2765,17/06/2010,26/06/2010,3715,
1570,WODOCIĄGOWY-660,160,ELEKTRYCZNY,69150,22/12/2010,22/12/2010,9107,
1571,WODOCIĄGOWY-1432,166,OGRODNICZY,37025,28/10/2010,28/10/2010,2760,
1572,WODOCIĄGOWY-9121,60,OGRODNICZY,12675,13/11/2010,16/11/2010,6600,
1573,WODOCIĄGOWY-5182,53,OGRODNICZY,32375,26/07/2010,26/07/2010,2103,
1574,WODOCIĄGOWY-2242,30,PRZECIWGROMOWY,32690,17/04/2010,23/04/2010,8731,
1575,WODOCIĄGOWY-5221,34,PRZECIWGROMOWY,35105,04/01/2011,13/01/2011,3118,
1576,WODOCIĄGOWY-8344,179,OGRODNICZY,25800,22/09/2010,23/09/2010,7490,
1577,WODOCIĄGOWY-3628,20,WODOCIĄGOWY,89540,21/07/2010,25/07/2010,5334,
1578,WODOCIĄGOWY-5888,143,PRZECIWGROMOWY,10675,29/06/2010,05/07/2010,4099,
1579,WODOCIĄGOWY-8633,192,OGRODNICZY,33375,15/03/2010,19/03/2010,7121,
1580,WODOCIĄGOWY-3940,69,ALARMOWY,22850,14/01/2010,16/01/2010,5904,
1581,WODOCIĄGOWY-5791,55,OGRODNICZY,40875,24/10/2010,27/10/2010,9066,
1582,WODOCIĄGOWY-3915,136,OGRODNICZY,21825,16/04/2010,25/04/2010,956,
1583,WODOCIĄGOWY-1865,82,ELEKTRYCZNY,127725,30/06/2010,09/07/2010,1794,
1584,WODOCIĄGOWY-2601,168,PRZECIWGROMOWY,6475,11/09/2010,15/09/2010,7735,
1585,WODOCIĄGOWY-8213,128,ELEKTRYCZNY,10950,13/07/2010,19/07/2010,5874,
1586,WODOCIĄGOWY-3721,45,ALARMOWY,22100,04/12/2010,12/12/2010,1457,
1587,WODOCIĄGOWY-4809,63,WODOCIĄGOWY,100980,27/05/2010,01/06/2010,2979,
1588,WODOCIĄGOWY-2497,14,GRZEWCZY,142240,12/04/2010,16/04/2010,1558,
1589,WODOCIĄGOWY-3733,155,ELEKTRYCZNY,81075,22/08/2010,27/08/2010,5506,
1590,WODOCIĄGOWY-3144,150,OGRODNICZY,35125,10/05/2010,11/05/2010,3706,
1591,WODOCIĄGOWY-3125,28,PRZECIWGROMOWY,66010,30/05/2010,01/06/2010,5768,
1592,WODOCIĄGOWY-1454,125,GRZEWCZY,144560,29/04/2010,05/05/2010,7495,
1593,WODOCIĄGOWY-3756,162,PRZECIWGROMOWY,2380,30/10/2010,06/11/2010,2860,
1594,WODOCIĄGOWY-7913,70,GRZEWCZY,45840,12/05/2010,17/05/2010,7891,
1595,WODOCIĄGOWY-3909,126,OGRODNICZY,45050,07/02/2010,16/02/2010,363,
1596,WODOCIĄGOWY-4476,81,GRZEWCZY,72480,26/11/2010,26/11/2010,5883,
1597,WODOCIĄGOWY-8055,112,ELEKTRYCZNY,123075,27/10/2010,01/11/2010,4003,
1598,WODOCIĄGOWY-1727,199,ALARMOWY,17750,24/07/2010,27/07/2010,8975,
1599,WODOCIĄGOWY-367,195,WODOCIĄGOWY,6490,30/10/2010,05/11/2010,7370,
1600,WODOCIĄGOWY-6544,159,OGRODNICZY,6450,07/03/2010,12/03/2010,1223,
1601,WODOCIĄGOWY-6222,6,ALARMOWY,17550,05/05/2010,11/05/2010,4944,
1602,WODOCIĄGOWY-8751,134,OGRODNICZY,39000,04/04/2010,11/04/2010,5640,
1603,WODOCIĄGOWY-8757,104,GRZEWCZY,89760,09/01/2010,18/01/2010,259,
1604,WODOCIĄGOWY-8958,43,OGRODNICZY,24475,27/07/2010,30/07/2010,6020,
1605,WODOCIĄGOWY-9128,67,GRZEWCZY,73760,12/07/2010,17/07/2010,9457,
1606,WODOCIĄGOWY-3578,186,ALARMOWY,32650,25/09/2010,29/09/2010,1644,
1607,WODOCIĄGOWY-7145,167,ALARMOWY,51300,25/01/2010,29/01/2010,5929,
1608,WODOCIĄGOWY-8137,152,ELEKTRYCZNY,42525,05/11/2010,05/11/2010,7702,
1609,WODOCIĄGOWY-6083,93,PRZECIWGROMOWY,65590,29/08/2010,02/09/2010,5280,
1610,WODOCIĄGOWY-4918,73,PRZECIWGROMOWY,2905,08/02/2010,11/02/2010,3943,
1611,WODOCIĄGOWY-5705,84,GRZEWCZY,134160,05/11/2010,07/11/2010,6255,
1612,WODOCIĄGOWY-6315,190,PRZECIWGROMOWY,35140,31/03/2010,05/04/2010,8037,
1613,WODOCIĄGOWY-8371,147,ELEKTRYCZNY,132150,30/03/2010,05/04/2010,516,
1614,WODOCIĄGOWY-8468,146,ELEKTRYCZNY,122625,05/02/2010,11/02/2010,8257,
1615,WODOCIĄGOWY-6181,31,ALARMOWY,22100,24/04/2010,28/04/2010,4183,
1616,WODOCIĄGOWY-567,114,PRZECIWGROMOWY,66465,04/11/2010,07/11/2010,3376,
1617,WODOCIĄGOWY-4428,115,GRZEWCZY,31440,22/10/2010,23/10/2010,6555,
1618,WODOCIĄGOWY-4589,108,ALARMOWY,81850,18/01/2010,18/01/2010,2579,
1619,WODOCIĄGOWY-3422,15,ALARMOWY,8900,12/05/2010,19/05/2010,5788,
1620,WODOCIĄGOWY-6182,152,PRZECIWGROMOWY,37380,13/02/2010,22/02/2010,6025,
1621,WODOCIĄGOWY-5694,114,WODOCIĄGOWY,32230,06/05/2010,15/05/2010,2110,
1622,WODOCIĄGOWY-2455,140,WODOCIĄGOWY,165,12/05/2010,19/05/2010,4049,
1623,WODOCIĄGOWY-3776,130,WODOCIĄGOWY,27115,24/10/2010,01/11/2010,4686,
1624,WODOCIĄGOWY-6851,112,ELEKTRYCZNY,10350,07/01/2010,15/01/2010,8150,
1625,WODOCIĄGOWY-1715,26,ALARMOWY,7950,31/10/2010,06/11/2010,7934,
1626,WODOCIĄGOWY-4213,53,PRZECIWGROMOWY,22750,27/12/2010,28/12/2010,4704,
1627,WODOCIĄGOWY-7889,151,ELEKTRYCZNY,90900,22/10/2010,22/10/2010,5852,
1628,WODOCIĄGOWY-7136,14,OGRODNICZY,7800,20/10/2010,23/10/2010,1701,
1629,WODOCIĄGOWY-5713,121,PRZECIWGROMOWY,35525,08/01/2010,14/01/2010,2292,
1630,WODOCIĄGOWY-7459,57,WODOCIĄGOWY,9515,05/05/2010,10/05/2010,6201,
1631,WODOCIĄGOWY-1390,173,PRZECIWGROMOWY,68250,22/12/2010,28/12/2010,6971,
1632,WODOCIĄGOWY-734,157,WODOCIĄGOWY,100540,27/11/2010,03/12/2010,7992,
1633,WODOCIĄGOWY-2508,118,WODOCIĄGOWY,34155,28/10/2010,31/10/2010,9975,
1634,WODOCIĄGOWY-9456,3,GRZEWCZY,112720,26/10/2010,26/10/2010,2786,
1635,WODOCIĄGOWY-4293,45,GRZEWCZY,141520,24/06/2010,26/06/2010,5800,
1636,WODOCIĄGOWY-8537,90,WODOCIĄGOWY,87780,17/04/2010,23/04/2010,1849,
1637,WODOCIĄGOWY-4650,126,ALARMOWY,33900,12/06/2010,13/06/2010,8646,
1638,WODOCIĄGOWY-4901,10,ALARMOWY,44150,11/09/2010,15/09/2010,1554,
1639,WODOCIĄGOWY-6542,20,ALARMOWY,6100,01/12/2010,04/12/2010,178,
1640,WODOCIĄGOWY-8635,79,GRZEWCZY,150320,05/03/2010,10/03/2010,4856,
1641,WODOCIĄGOWY-2203,52,GRZEWCZY,114880,12/09/2010,19/09/2010,9227,
1642,WODOCIĄGOWY-8861,56,ELEKTRYCZNY,4200,15/07/2010,21/07/2010,9408,
1643,WODOCIĄGOWY-8203,13,OGRODNICZY,15825,15/12/2010,20/12/2010,6868,
1644,WODOCIĄGOWY-8918,179,PRZECIWGROMOWY,38430,20/10/2010,26/10/2010,9857,
1645,WODOCIĄGOWY-7409,37,ALARMOWY,59850,03/05/2010,05/05/2010,4048,
1646,WODOCIĄGOWY-6275,193,WODOCIĄGOWY,1925,05/04/2010,07/04/2010,3146,
1647,WODOCIĄGOWY-9977,62,GRZEWCZY,88000,05/06/2010,08/06/2010,4575,
1648,WODOCIĄGOWY-4353,68,WODOCIĄGOWY,10395,12/11/2010,16/11/2010,660,
1649,WODOCIĄGOWY-4739,123,GRZEWCZY,18480,12/01/2010,20/01/2010,7722,
1650,WODOCIĄGOWY-2598,175,WODOCIĄGOWY,16225,01/01/2011,10/01/2011,7036,
1651,WODOCIĄGOWY-5795,159,WODOCIĄGOWY,46695,12/01/2010,14/01/2010,3756,
1652,WODOCIĄGOWY-970,113,GRZEWCZY,123760,11/03/2010,16/03/2010,9822,
1653,WODOCIĄGOWY-7126,4,ELEKTRYCZNY,140625,01/05/2010,03/05/2010,9488,
1654,WODOCIĄGOWY-5827,190,OGRODNICZY,45775,28/08/2010,01/09/2010,4051,
1655,WODOCIĄGOWY-2081,23,ELEKTRYCZNY,71475,29/11/2010,04/12/2010,6005,
1656,WODOCIĄGOWY-5160,25,GRZEWCZY,113920,01/09/2010,06/09/2010,537,
1657,WODOCIĄGOWY-5690,44,OGRODNICZY,14875,24/04/2010,01/05/2010,1240,
1658,WODOCIĄGOWY-7696,86,ALARMOWY,68250,19/05/2010,21/05/2010,3653,
1659,WODOCIĄGOWY-1156,102,ALARMOWY,7700,07/03/2010,09/03/2010,9268,
1660,WODOCIĄGOWY-3499,185,WODOCIĄGOWY,68530,02/06/2010,03/06/2010,1016,
1661,WODOCIĄGOWY-6384,75,ELEKTRYCZNY,60750,26/02/2010,06/03/2010,6076,
1662,WODOCIĄGOWY-8948,78,WODOCIĄGOWY,56045,14/07/2010,18/07/2010,6130,
1663,WODOCIĄGOWY-8509,43,GRZEWCZY,135040,06/11/2010,06/11/2010,9117,
1664,WODOCIĄGOWY-5513,110,ALARMOWY,46700,05/11/2010,06/11/2010,9928,
1665,WODOCIĄGOWY-8060,162,WODOCIĄGOWY,45155,11/05/2010,14/05/2010,5651,
1666,WODOCIĄGOWY-3612,80,PRZECIWGROMOWY,30345,17/05/2010,22/05/2010,2817,
1667,WODOCIĄGOWY-3443,122,OGRODNICZY,31275,08/10/2010,10/10/2010,3989,
1668,WODOCIĄGOWY-1298,25,GRZEWCZY,18960,15/02/2010,18/02/2010,217,
1669,WODOCIĄGOWY-5764,74,ALARMOWY,24750,06/09/2010,06/09/2010,2812,
1670,WODOCIĄGOWY-4680,133,OGRODNICZY,33325,19/09/2010,19/09/2010,3357,
1671,WODOCIĄGOWY-4227,6,WODOCIĄGOWY,94270,21/01/2010,25/01/2010,6625,
1672,WODOCIĄGOWY-406,57,OGRODNICZY,9950,22/04/2010,26/04/2010,2991,
1673,WODOCIĄGOWY-2366,37,WODOCIĄGOWY,108570,13/09/2010,18/09/2010,1326,
1674,WODOCIĄGOWY-6931,46,GRZEWCZY,133040,24/02/2010,02/03/2010,8450,
1675,WODOCIĄGOWY-5941,126,OGRODNICZY,41875,05/12/2010,11/12/2010,9490,
1676,WODOCIĄGOWY-5564,51,OGRODNICZY,8825,21/08/2010,24/08/2010,4163,
1677,WODOCIĄGOWY-9985,154,GRZEWCZY,45440,11/12/2010,18/12/2010,5148,
1678,WODOCIĄGOWY-3693,199,OGRODNICZY,9000,26/01/2010,03/02/2010,2676,
1679,WODOCIĄGOWY-7236,117,ELEKTRYCZNY,89325,30/04/2010,09/05/2010,1841,
1680,WODOCIĄGOWY-126,146,WODOCIĄGOWY,25135,24/04/2010,02/05/2010,6553,
1681,WODOCIĄGOWY-9881,170,WODOCIĄGOWY,42735,02/04/2010,08/04/2010,273,
1682,WODOCIĄGOWY-9039,157,PRZECIWGROMOWY,19495,26/04/2010,29/04/2010,3888,
1683,WODOCIĄGOWY-3363,130,GRZEWCZY,31520,24/09/2010,27/09/2010,8343,
1684,WODOCIĄGOWY-9376,102,PRZECIWGROMOWY,44800,29/12/2010,29/12/2010,7276,
1685,WODOCIĄGOWY-1730,47,GRZEWCZY,3040,20/05/2010,24/05/2010,2009,
1686,WODOCIĄGOWY-5206,110,ELEKTRYCZNY,59850,10/10/2010,12/10/2010,1524,
1687,WODOCIĄGOWY-69,87,OGRODNICZY,28625,04/09/2010,08/09/2010,1790,
1688,WODOCIĄGOWY-7969,115,ELEKTRYCZNY,142950,12/08/2010,18/08/2010,2671,
1689,WODOCIĄGOWY-1087,64,OGRODNICZY,4150,02/05/2010,11/05/2010,798,
1690,WODOCIĄGOWY-4030,144,WODOCIĄGOWY,17765,11/11/2010,14/11/2010,2610,
1691,WODOCIĄGOWY-3294,151,PRZECIWGROMOWY,50470,26/05/2010,26/05/2010,3707,
1692,WODOCIĄGOWY-4848,186,GRZEWCZY,1280,11/02/2010,15/02/2010,6012,
1693,WODOCIĄGOWY-1691,4,GRZEWCZY,98400,03/01/2011,04/01/2011,3957,
1694,WODOCIĄGOWY-2856,125,PRZECIWGROMOWY,64680,26/01/2010,30/01/2010,8865,
1695,WODOCIĄGOWY-7061,5,OGRODNICZY,17800,19/01/2010,21/01/2010,3427,
1696,WODOCIĄGOWY-3701,138,PRZECIWGROMOWY,5635,09/05/2010,13/05/2010,9414,
1697,WODOCIĄGOWY-8876,120,PRZECIWGROMOWY,48930,14/09/2010,19/09/2010,7184,
1698,WODOCIĄGOWY-9226,161,OGRODNICZY,1225,07/05/2010,15/05/2010,6392,
1699,WODOCIĄGOWY-3822,102,PRZECIWGROMOWY,44765,27/10/2010,04/11/2010,6428,
1700,WODOCIĄGOWY-1616,96,ALARMOWY,80100,12/09/2010,12/09/2010,4543,
1701,WODOCIĄGOWY-9215,66,ALARMOWY,17450,12/04/2010,14/04/2010,4603,
1702,WODOCIĄGOWY-7613,141,GRZEWCZY,100240,29/01/2010,05/02/2010,337,
1703,WODOCIĄGOWY-6452,172,GRZEWCZY,107520,14/09/2010,20/09/2010,4799,
1704,WODOCIĄGOWY-7368,15,WODOCIĄGOWY,62865,14/12/2010,22/12/2010,785,
1705,WODOCIĄGOWY-5103,138,GRZEWCZY,84160,13/09/2010,17/09/2010,5066,
1706,WODOCIĄGOWY-3743,171,OGRODNICZY,6725,07/03/2010,11/03/2010,9167,
1707,WODOCIĄGOWY-3233,186,GRZEWCZY,93280,12/06/2010,17/06/2010,3274,
1708,WODOCIĄGOWY-7289,53,ELEKTRYCZNY,126000,31/10/2010,06/11/2010,3623,
1709,WODOCIĄGOWY-1888,91,WODOCIĄGOWY,103840,03/10/2010,04/10/2010,2537,
1710,WODOCIĄGOWY-4227,162,OGRODNICZY,12000,06/05/2010,07/05/2010,3926,
1711,WODOCIĄGOWY-950,20,OGRODNICZY,31050,05/11/2010,09/11/2010,7658,
1712,WODOCIĄGOWY-5401,35,WODOCIĄGOWY,1375,26/10/2010,30/10/2010,1708,
1713,WODOCIĄGOWY-4760,91,OGRODNICZY,8925,22/05/2010,30/05/2010,2983,
1714,WODOCIĄGOWY-4554,115,GRZEWCZY,37440,30/10/2010,07/11/2010,8346,
1715,WODOCIĄGOWY-1344,91,PRZECIWGROMOWY,40425,22/05/2010,30/05/2010,7957,
1716,WODOCIĄGOWY-8538,113,WODOCIĄGOWY,1155,28/01/2010,02/02/2010,9330,
1717,WODOCIĄGOWY-2246,156,OGRODNICZY,41325,12/10/2010,21/10/2010,8699,
1718,WODOCIĄGOWY-2310,7,ALARMOWY,78250,20/07/2010,21/07/2010,2633,
1719,WODOCIĄGOWY-9443,178,PRZECIWGROMOWY,10080,27/07/2010,28/07/2010,7243,
1720,WODOCIĄGOWY-607,106,ELEKTRYCZNY,139125,09/03/2010,09/03/2010,4529,
1721,WODOCIĄGOWY-4086,161,PRZECIWGROMOWY,21805,02/11/2010,11/11/2010,9456,
1722,WODOCIĄGOWY-1584,130,GRZEWCZY,11200,08/12/2010,09/12/2010,1184,
1723,WODOCIĄGOWY-6766,16,OGRODNICZY,4150,21/03/2010,29/03/2010,1083,
1724,WODOCIĄGOWY-2394,157,ALARMOWY,87200,13/05/2010,22/05/2010,3653,
1725,WODOCIĄGOWY-6821,74,ALARMOWY,74000,20/08/2010,22/08/2010,2402,
1726,WODOCIĄGOWY-751,37,ELEKTRYCZNY,13575,23/07/2010,29/07/2010,5539,
1727,WODOCIĄGOWY-9885,128,WODOCIĄGOWY,79255,11/05/2010,12/05/2010,1180,
1728,WODOCIĄGOWY-6600,71,PRZECIWGROMOWY,57435,23/12/2010,27/12/2010,7144,
1729,WODOCIĄGOWY-1398,171,ALARMOWY,89500,30/04/2010,02/05/2010,1606,
1730,WODOCIĄGOWY-5646,4,ELEKTRYCZNY,134625,21/01/2010,26/01/2010,4108,
1731,WODOCIĄGOWY-5950,100,WODOCIĄGOWY,10835,30/12/2010,04/01/2011,286,
1732,WODOCIĄGOWY-9775,9,OGRODNICZY,11425,30/08/2010,08/09/2010,2840,
1733,WODOCIĄGOWY-6488,69,OGRODNICZY,11750,26/12/2010,03/01/2011,7586,
1734,WODOCIĄGOWY-2338,109,PRZECIWGROMOWY,11760,21/03/2010,28/03/2010,9898,
1735,WODOCIĄGOWY-6534,64,OGRODNICZY,41775,18/02/2010,20/02/2010,6682,
1736,WODOCIĄGOWY-6805,72,ELEKTRYCZNY,104475,01/02/2010,09/02/2010,5449,
1737,WODOCIĄGOWY-7690,172,ALARMOWY,32400,24/09/2010,25/09/2010,31,
1738,WODOCIĄGOWY-7795,191,OGRODNICZY,48175,02/04/2010,06/04/2010,8644,
1739,WODOCIĄGOWY-9331,103,GRZEWCZY,120080,21/09/2010,29/09/2010,9841,
1740,WODOCIĄGOWY-2171,43,OGRODNICZY,25200,09/08/2010,14/08/2010,674,
1741,WODOCIĄGOWY-9011,9,PRZECIWGROMOWY,7035,17/07/2010,26/07/2010,943,
1742,WODOCIĄGOWY-9119,85,GRZEWCZY,33440,01/11/2010,01/11/2010,3360,
1743,WODOCIĄGOWY-4999,149,GRZEWCZY,87520,01/05/2010,10/05/2010,9055,
1744,WODOCIĄGOWY-2376,45,WODOCIĄGOWY,37895,01/02/2010,10/02/2010,4510,
1745,WODOCIĄGOWY-5819,181,GRZEWCZY,141440,24/02/2010,25/02/2010,662,
1746,WODOCIĄGOWY-2786,173,OGRODNICZY,46950,09/02/2010,15/02/2010,8785,
1747,WODOCIĄGOWY-7112,86,ELEKTRYCZNY,6150,09/02/2010,17/02/2010,4811,
1748,WODOCIĄGOWY-9249,88,ALARMOWY,45250,01/06/2010,10/06/2010,5038,
1749,WODOCIĄGOWY-2995,14,ALARMOWY,6900,25/12/2010,26/12/2010,5227,
1750,WODOCIĄGOWY-8611,152,OGRODNICZY,1200,19/03/2010,26/03/2010,8923,
1751,WODOCIĄGOWY-2042,163,WODOCIĄGOWY,75185,14/06/2010,20/06/2010,918,
1752,WODOCIĄGOWY-4573,183,WODOCIĄGOWY,87065,24/12/2010,31/12/2010,1185,
1753,WODOCIĄGOWY-7939,38,GRZEWCZY,10720,28/05/2010,31/05/2010,8250,
1754,WODOCIĄGOWY-3529,51,PRZECIWGROMOWY,39900,23/07/2010,01/08/2010,1836,
1755,WODOCIĄGOWY-8755,151,ELEKTRYCZNY,25350,26/11/2010,27/11/2010,7797,
1756,WODOCIĄGOWY-7058,128,PRZECIWGROMOWY,3045,02/05/2010,03/05/2010,3736,
1757,WODOCIĄGOWY-8058,38,GRZEWCZY,74880,28/05/2010,01/06/2010,7904,
1758,WODOCIĄGOWY-5377,196,ELEKTRYCZNY,42825,08/09/2010,15/09/2010,9258,
1759,WODOCIĄGOWY-1889,171,OGRODNICZY,2125,14/03/2010,20/03/2010,1660,
1760,WODOCIĄGOWY-3739,2,GRZEWCZY,88800,08/09/2010,13/09/2010,1415,
1761,WODOCIĄGOWY-8661,152,GRZEWCZY,61840,30/10/2010,03/11/2010,8966,
1762,WODOCIĄGOWY-2491,152,OGRODNICZY,36025,07/10/2010,12/10/2010,4803,
1763,WODOCIĄGOWY-3874,135,PRZECIWGROMOWY,10360,23/10/2010,31/10/2010,4445,
1764,WODOCIĄGOWY-8187,114,ELEKTRYCZNY,148650,16/06/2010,16/06/2010,8805,
1765,WODOCIĄGOWY-5982,84,WODOCIĄGOWY,550,15/04/2010,23/04/2010,3563,
1766,WODOCIĄGOWY-1971,182,OGRODNICZY,49500,03/07/2010,09/07/2010,4362,
1767,WODOCIĄGOWY-99,61,ELEKTRYCZNY,51600,20/10/2010,24/10/2010,6274,
1768,WODOCIĄGOWY-7518,55,OGRODNICZY,5800,23/12/2010,28/12/2010,1248,
1769,WODOCIĄGOWY-2825,83,GRZEWCZY,104320,17/10/2010,18/10/2010,9292,
1770,WODOCIĄGOWY-1242,142,PRZECIWGROMOWY,5775,25/03/2010,01/04/2010,6006,
1771,WODOCIĄGOWY-4752,38,WODOCIĄGOWY,94050,01/09/2010,10/09/2010,5625,
1772,WODOCIĄGOWY-2382,62,ELEKTRYCZNY,40125,14/08/2010,18/08/2010,4460,
1773,WODOCIĄGOWY-9101,47,GRZEWCZY,35840,04/07/2010,04/07/2010,5319,
1774,WODOCIĄGOWY-1746,57,WODOCIĄGOWY,87890,04/11/2010,08/11/2010,759,
1775,WODOCIĄGOWY-6216,104,OGRODNICZY,44775,29/10/2010,05/11/2010,5068,
1776,WODOCIĄGOWY-2029,132,ALARMOWY,87350,27/07/2010,27/07/2010,2774,
1777,WODOCIĄGOWY-67,175,OGRODNICZY,32625,14/09/2010,19/09/2010,9297,
1778,WODOCIĄGOWY-7783,65,WODOCIĄGOWY,81895,10/01/2010,12/01/2010,8640,
1779,WODOCIĄGOWY-9370,71,PRZECIWGROMOWY,21665,16/01/2010,21/01/2010,3382,
1780,WODOCIĄGOWY-9965,29,OGRODNICZY,4650,18/01/2010,26/01/2010,4726,
1781,WODOCIĄGOWY-7949,122,PRZECIWGROMOWY,40740,01/10/2010,01/10/2010,3117,
1782,WODOCIĄGOWY-7918,71,WODOCIĄGOWY,86955,12/07/2010,19/07/2010,9016,
1783,WODOCIĄGOWY-8623,92,WODOCIĄGOWY,65725,22/03/2010,25/03/2010,3192,
1784,WODOCIĄGOWY-4633,96,WODOCIĄGOWY,16390,23/10/2010,28/10/2010,134,
1785,WODOCIĄGOWY-4923,130,ALARMOWY,150,29/09/2010,29/09/2010,693,
1786,WODOCIĄGOWY-2712,149,PRZECIWGROMOWY,55615,23/09/2010,28/09/2010,515,
1787,WODOCIĄGOWY-9464,85,OGRODNICZY,22650,10/09/2010,11/09/2010,2575,
1788,WODOCIĄGOWY-5044,140,PRZECIWGROMOWY,175,16/06/2010,18/06/2010,4498,
1789,WODOCIĄGOWY-1560,33,GRZEWCZY,125120,09/07/2010,13/07/2010,3180,
1790,WODOCIĄGOWY-8365,41,WODOCIĄGOWY,10835,05/03/2010,06/03/2010,2307,
1791,WODOCIĄGOWY-6844,118,ALARMOWY,38600,09/08/2010,18/08/2010,6026,
1792,WODOCIĄGOWY-8572,166,WODOCIĄGOWY,85965,16/03/2010,20/03/2010,635,
1793,WODOCIĄGOWY-9431,154,ALARMOWY,36950,24/07/2010,31/07/2010,1434,
1794,WODOCIĄGOWY-8313,149,WODOCIĄGOWY,33605,29/10/2010,02/11/2010,9831,
1795,WODOCIĄGOWY-23,159,ELEKTRYCZNY,64650,30/07/2010,03/08/2010,4426,
1796,WODOCIĄGOWY-2299,114,WODOCIĄGOWY,27995,15/09/2010,15/09/2010,9374,
1797,WODOCIĄGOWY-4697,90,GRZEWCZY,113600,10/03/2010,15/03/2010,9461,
1798,WODOCIĄGOWY-2415,189,OGRODNICZY,30650,15/11/2010,16/11/2010,4015,
1799,WODOCIĄGOWY-3663,17,WODOCIĄGOWY,95865,01/09/2010,04/09/2010,2914,
1800,WODOCIĄGOWY-3056,14,GRZEWCZY,59680,21/09/2010,29/09/2010,9915,
1801,WODOCIĄGOWY-7347,118,OGRODNICZY,39250,06/10/2010,06/10/2010,2243,
1802,WODOCIĄGOWY-2251,171,ALARMOWY,9950,16/07/2010,19/07/2010,2176,
1803,WODOCIĄGOWY-4894,106,GRZEWCZY,29040,16/09/2010,20/09/2010,4715,
1804,WODOCIĄGOWY-9462,100,WODOCIĄGOWY,2915,24/03/2010,28/03/2010,4069,
1805,WODOCIĄGOWY-1510,32,PRZECIWGROMOWY,32550,12/06/2010,12/06/2010,4300,
1806,WODOCIĄGOWY-8735,33,ELEKTRYCZNY,45000,07/10/2010,13/10/2010,96,
1807,WODOCIĄGOWY-2981,53,ALARMOWY,13700,21/06/2010,25/06/2010,1251,
1808,WODOCIĄGOWY-2536,143,WODOCIĄGOWY,39765,24/05/2010,27/05/2010,5438,
1809,WODOCIĄGOWY-1146,13,ELEKTRYCZNY,88425,01/03/2010,02/03/2010,5496,
1810,WODOCIĄGOWY-4989,109,ELEKTRYCZNY,122250,26/07/2010,01/08/2010,2153,
1811,WODOCIĄGOWY-6359,53,GRZEWCZY,147200,06/07/2010,10/07/2010,4777,
1812,WODOCIĄGOWY-7229,54,OGRODNICZY,2050,30/10/2010,03/11/2010,410,
1813,WODOCIĄGOWY-2469,95,ALARMOWY,49050,01/11/2010,06/11/2010,7126,
1814,WODOCIĄGOWY-577,160,GRZEWCZY,60320,24/06/2010,28/06/2010,8010,
1815,WODOCIĄGOWY-7992,100,ELEKTRYCZNY,9525,12/09/2010,19/09/2010,267,
